order,zoho_invoice_id,zoho_net,shopify_net,delta,zoho_total,shopify_total,status
49115,3806639000015083228,0,1298,1298,1258.95,1298,large_mismatch
49114,3806639000015050220,0,1398,1398,1363.95,1398,large_mismatch
49113,3806639000015043194,0,2898,2898,2938.95,2898,large_mismatch
49112,3806639000015048173,0,1998.05,1998.05,1993.99,1998.05,large_mismatch
49111,3806639000015051218,0,2098,2098,2098.95,2098,large_mismatch
49110,3806639000015078192,0,132.95,132.95,139.61,132.95,large_mismatch
49109,3806639000015071219,0,759.05,759.05,797,759.05,large_mismatch
49108,3806639000015057202,0,1298,1298,1258.95,1298,large_mismatch
49107,3806639000015054149,0,1298,1298,1258.95,1298,large_mismatch
49106,3806639000015071210,0,1139.05,1139.05,1196,1139.05,large_mismatch
49105,3806639000015074147,0,1899.05,1899.05,1993.99,1899.05,large_mismatch
49104,3806639000015045203,0,1139.05,1139.05,1196,1139.05,large_mismatch
49103,3806639000015057195,0,1298,1298,1258.95,1298,large_mismatch
49102,3806639000015043185,0,1172.35,1172.35,1230.97,1172.35,large_mismatch
49101,3806639000015065206,0,56.95,56.95,59.8,56.95,small_mismatch
